Coverage of social protection and labor programs (% of population),"Literacy rate, adult female (% of females ages 15 and above)",Electricity production from oil sources (% of total),"Completeness of birth registration, male (%)",Domestic credit provided by financial sector (% of GDP),Fuel exports (% of merchandise exports),Urban population,Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),"Adjusted net savings, excluding particulate emission damage (current US$)",Time to obtain an electrical connection (days),"Child employment in agriculture, male (% of male economically active children ages 7-14)","Population ages 65-69, female (% of female population)",Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","Secondary education, pupils (% female)","Tariff rate, most favored nation, weighted mean, manufactured products (%)",Children out of school (% of primary school age),"International tourism, expenditures for passenger transport items (current US$)","Human capital index (HCI), male, lower bound (scale 0-1)",Social contributions (current LCU)
,,2.128144887,100.0,,20.93769507,13909190,15.42,57193315258.375,,,3.886749558,,,47.555698750000005,5.066296296296297,2.731650114,4249384615.3846154,0.7498099490000001,719444444.4444444
,,3.00780066,100.0,,22.82888029,13704019,15.42,57193315258.375,,,3.795301364,,,47.555698750000005,5.066296296296297,2.969209909,4249384615.3846154,0.7498099490000001,719444444.4444444
,,4.982780887,100.0,,24.35702705,13337672,15.42,57193315258.375,,,3.721787639,,,47.555698750000005,5.066296296296297,3.287120104,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.244159109,100.0,,25.59544201,17065978,15.42,42436666696.0,,,3.757877023,,,47.555698750000005,3.9,0.572629988,4404000000.0,0.7498099490000001,719444444.4444444
,,3.370722971,100.0,,6.423086672,10887779,15.42,57193315258.375,,,3.240952779,,,47.555698750000005,5.066296296296297,2.571640015,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.484358307,100.0,,21.17058509,14906654,15.42,10055685065.0,,,4.025800764,,,47.555698750000005,5.066296296296297,2.434989929,4249384615.3846154,0.7498099490000001,595000000.0
,,3.102758625607143,100.0,,25.5970925,20755798,15.42,60255187259.0,,,4.919207815,,,45.19242,3.19,0.00778,4879000000.0,0.7498099490000001,719444444.4444444
,,0.608641927,100.0,,20.2580998,16835775,15.42,46173727518.0,,,3.702555463,,,47.555698750000005,4.67,1.11954999,4035000000.0,0.7498099490000001,719444444.4444444
,,1.191134672,100.0,,18.54558474,15592522,15.42,34183124351.0,,,3.781548764,,,49.56177,6.84,4.601980209,2619000000.0,0.7498099490000001,1055000000.0
,,2.055995975,100.0,,16.41151987,14370104,15.42,32685445469.0,,,4.050288745,,,47.555698750000005,5.066296296296297,2.117180109,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.190637874,100.0,,22.75348199,17666406,15.42,46631344732.0,,,3.852719309,,,47.555698750000005,5.35,0.261539996,5598000000.0,0.7498099490000001,719444444.4444444
,,5.646630237,100.0,,18.762211305483333,8589875,15.42,57193315258.375,,,3.560489383,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,5.391945836,100.0,,16.00640297,12789234,15.42,57193315258.375,,,3.829190083,,,47.555698750000005,5.066296296296297,1.418820024,4249384615.3846154,0.7498099490000001,719444444.4444444
,,3.181392317,100.0,,18.762211305483333,8832932,15.42,57193315258.375,,,3.510039701,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,2.413606121,100.0,,28.88070334,18767085,15.42,81626726592.0,,,4.13767698,,,47.555698750000005,4.6,0.323500007,5293000000.0,0.730910361,719444444.4444444
,,0.849101544,100.0,,18.25379814,15871907,15.42,24960450527.0,,,3.638871192,,,47.555698750000005,6.15,4.37361002,2617000000.0,0.7498099490000001,719444444.4444444
,,1.584444895,100.0,,17.60937145,15285785,15.42,23048906157.0,,,3.902674983,,,48.5927,5.066296296296297,4.504990101,2440000000.0,0.7498099490000001,777000000.0
,,5.487267455,100.0,,23.15693871,13183123,15.42,57193315258.375,,,3.770233264,,,47.555698750000005,5.066296296296297,2.232680082,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.509310735,100.0,,28.44550554,19414834,15.42,154000000000.0,,,4.492391648,,,47.555698750000005,3.32,2.304460049,7148000000.0,0.7498099490000001,719444444.4444444
,,4.63943622,100.0,,5.584824481,10505755,15.42,57193315258.375,,,3.246800947,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,5.675538487,100.0,,18.21982862,13008344,15.42,57193315258.375,,,3.811022828,,,47.555698750000005,5.066296296296297,1.928269982,4249384615.3846154,0.7498099490000001,719444444.4444444
,,6.210224491,100.0,,14.1659178,12240482,15.42,57193315258.375,,,3.705128488,,,47.555698750000005,5.066296296296297,0.077749997,4249384615.3846154,0.7498099490000001,719444444.4444444
,,3.102758625607143,100.0,,42.69546613,22468661,15.42,57193315258.375,,,5.069767655,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,5.42768339,100.0,,11.13926396,12569300,15.42,57193315258.375,,,3.826549424,,,47.555698750000005,5.066296296296297,1.179730058,4249384615.3846154,0.7498099490000001,719444444.4444444
,,3.984790484,100.0,,3.708591856,9852991,15.42,57193315258.375,,,3.335632466,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.075741716,100.0,,20.68858789,16419256,15.42,28123975925.0,,,3.592154322,,,47.555698750000005,4.6,0.331279993,2677000000.0,0.7498099490000001,719444444.4444444
,,7.417783716,100.0,,8.836919486,11614598,15.42,57193315258.375,,,3.407932257,,,47.555698750000005,5.066296296296297,4.031159878,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.767249483,100.0,,16.18896466,14133843,15.42,57193315258.375,,,3.979234878,,,47.555698750000005,5.066296296296297,2.314090014,4249384615.3846154,0.7498099490000001,719444444.4444444
,,2.28784555,100.0,,28.14109097,19056040,15.42,118000000000.0,,,4.300834879,,,47.555698750000005,3.2,2.705689907,6596000000.0,0.7498099490000001,719444444.4444444
,,0.933755173,100.0,,17.91970504,15723967,15.42,29736960108.0,,,3.707712292,,,47.555698750000005,6.65,4.325960159,2377000000.0,0.7498099490000001,905000000.0
